,Gross_Pay,Name,Sex,DOB,Age,Join_Date,Tenure,Role,Dept
0,220212.0,'Dianne Olson',F,23/02/1991,29,01/07/2013,84,'Software Engineer.Senior II.','Enterprise Applications'
1,330468.75,'Deshawn Donaldson',M,26/02/1984,36,24/04/2017,38,'Software Engineer.Senior II Lead.','Media Portal'
2,117429.0,'Patty Prince',F,29/01/1993,27,01/06/2015,61,'Security Operations Center Specialist..','APJ Security Services - SOCC'
3,113674.0,'Elisa Benson',F,31/05/1990,30,17/04/2017,38,'Software Engineer II..','Enterprise Applications'
4,126812.5,'Carl Finley',M,15/01/1993,27,04/06/2018,25,'Technical Solutions Engineer.Associate.','AmaTec - Americas TSE'
5,109936.25,'Johnathon Day',M,02/12/1994,25,03/07/2017,36,'Software Development Engineer in Test II..','Media Analytics'
6,116103.75,'Isiah Mckenzie',M,20/12/1989,30,18/12/2017,30,'Client Service Manager..','Americas- AMG'
7,159001.25,'Major Espinoza',M,29/05/1989,31,04/12/2017,31,'Software Engineer.Senior.','Enterprise Applications'
8,187902.5,'Huey Hart',M,28/11/1992,27,16/01/2017,41,'Solutions Architect II..','Service Delivery Americas Web'
9,167265.0,'Kara Sparks',F,19/07/1984,35,16/06/2008,144,'Manager..Order Management','Finance - Customer Revenue Operations GA'
10,133337.0,'Terra Smith',F,29/10/1990,29,26/11/2015,55,'Platform Operations Engineer II..','Platform Operations'
11,219416.25,'Otto Sweeney',M,27/09/1986,33,21/10/2019,8,'Business Systems Analyst.Senior.','Corporate Systems'
12,62087.0,'Martha Smith',F,05/12/1993,26,19/10/2017,32,'Software Development Engineer in Test..','Dynamic Media SQA'
13,96221.0,'Concetta Brady',F,23/11/1988,31,04/05/2017,38,'Client Service Manager..','Americas- AMG'
14,86779.0,'Jeanne Waters',F,17/05/1993,27,20/07/2015,59,'Order Analyst II..','Finance - Customer Revenue Operations GA'
15,203722.5,'Orlando Wallace',M,17/03/1980,40,07/03/2011,112,'Manager..Contract Management','Finance - Customer Revenue Operations GA'
16,140083.75,'Morton Velasquez',M,25/05/1987,33,28/12/2015,54,'Infrastructure Delivery Manager..','Networks - EMEA Infrastructure'
17,220488.75,'Dion Velez',M,08/12/1986,33,05/06/2017,37,'Software Engineer.Senior.','LUNA/OPEN Engineering'
18,54100.0,'Katherine Ellison',F,05/04/1997,23,08/08/2019,11,'Account Service Manager.Associate.','Americas- AMG'
19,147652.5,'Zachery Friedman',M,23/10/1993,26,25/07/2019,11,'Technical Solutions Engineer..','AmaTec - Americas TSE'
20,88516.25,'Wilburn Barton',M,25/11/1997,22,08/07/2019,12,'Software Engineer..','Media Services Engineering'
21,208043.75,'Alfredo Alexander',M,18/10/1990,29,23/07/2018,23,'Software Engineer II..','GSS EPIC Engineering (HC COGS)'
22,116130.0,'Mike Hardy',M,03/03/1993,27,13/02/2017,41,'Platform Operations Engineer..','Platform Operations'
23,99208.75,'Herb Greene',M,17/08/1994,25,06/06/2019,13,'Network Engagement Consultant..','Networks - EMEA Infrastructure'
24,229045.0,'Cliff Barrett',M,01/07/1984,36,12/02/2018,29,'Business Systems Analyst.Senior II.','Enterprise Applications'
25,219493.75,'Cleveland Cisneros',M,24/03/1988,32,02/03/2015,64,'Technical Solutions Engineer II.Lead.','AmaTec - APJ TSE'
26,244062.5,'Pete Miller',M,27/09/1987,32,03/11/2011,104,'Systems Administrator.Senior.Windows','Enterprise Infrastructure Services'
27,277793.75,'Kip Christian',M,16/01/1986,34,21/07/2016,47,'Solutions Architect.Senior.','Service Delivery Americas Web'
28,88395.0,'Mathew Hinton',M,10/11/1989,30,29/05/2017,37,'Account Service Manager..','Americas- AMG'
29,149440.0,'Tristan Padilla',M,10/03/1991,29,18/11/2019,7,'Technical Solutions Engineer..','AmaTec - Americas TSE'
30,4872.5,'Micheal Washington',M,30/09/1988,31,17/10/2016,44,'Security Operations Center Specialist.Senior II.','APJ Security Services - SOCC'
31,74445.0,'Isreal Maddox',M,05/11/1991,28,19/12/2016,42,'User Interface Engineer II..','GSS EPIC Engineering (HC COGS)'
32,62087.0,'Eliza Valenzuela',F,12/12/1997,22,05/09/2019,10,'Q/A Engineer..','IT DevOps'
33,216763.0,'Annie Maynard',F,29/11/1983,36,15/03/2010,124,'Software Development Engineer in Test.Senior II.','Dynamic Media SQA'
34,117475.0,'Rolf Wilson',M,28/05/1987,33,14/10/2019,9,'Platform Operations Engineer.Associate.','Platform Operations'
35,198125.0,'Raymon Mcintyre',M,22/08/1988,31,11/10/2018,21,'Solutions Architect II..','Service Delivery Americas Web'
36,261978.75,'Loren Shea',M,22/07/1988,31,22/02/2018,28,'Software Development Engineer in Test.Senior II.','Dynamic Media SQA'
37,309985.0,'Christopher Adams',M,26/07/1990,29,11/06/2012,97,'Software Engineer.Senior II Lead.','Enterprise Applications'
